TIME TABLE FOR Spring 2019 SEMESTER [CS Department] <V1.9>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,10,20,30,40,50,60,
,CS-9,Software Testing (CS-B),,,,,,,,,Artificial Intelligence (CS-B),,,,,,,,,Advance Database Concepts (CS),,,,,,,,,Artificial Intelligence (CS-A),,,,,,,,,Object Oriented Programming (CS-B),,,,,,,,,Artificial Intelligence (CS-E),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,Artificial Intelligence (CS-C),,,,,,,,,Artificial Intelligence (CS-D),,,,,,,,,Numerical Methods (CS-D),,,,,,,,,Information Retrieval (CS),,,,,,,,,Human Computer Interaction (CS-D),,,,,,,,,Artificial Intelligence (CS-F),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,-1,,,,,,,,,-1,,,,,,,,,Object Oriented Programming (CS-A),,,,,,,,,Human Computer Interaction (CS-B),,,,,,,,,Human Computer Interaction (CS-A),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,Pakistan Studies (CS-E),,,,,,,,,Software Engineering (CS-B),,,,,,,,,Software Engineering (CS-A),,,,,,,,,Digital Logic Design (CS-H),,,,,,,,,Digital Logic Design (CS-G),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,Digital Logic Design (CS-D),,,,,,,,,-1,,,,,,,,,Communication & Presentation Skills  (CS-C),,,,,,,,,-1,,,,,,,,,Communication & Presentation Skills (CS-D),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,Research Methodology (MS-A+ MS-B),,,,,,,,,Research Methodology (MS-A+ MS-B),,,,,,,,,Programming Fundamentals (CS-I),,,,,,,,,Human Computer Interaction (CS-E),,,,,,,,,Communication & Presentation Skills  (CS-D),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,Pakistan Studies (CS-H),,,,,,,,,Differential Equations Cal II (CS-E),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,Comm & Presentation Skills Lab (CS-G),,,,,,,,,Comm & Presentation Skills Lab (CS-D),,,,,,,,,Comm & Presentation Skills Lab (CS-E),,,,,,,,,Comm & Presentation Skills Lab (CS-A),,,,,,,,,-1,,,,,,,,,Comm & Presentation Skills Lab (CS-D),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,Comm & Presentation Skills Lab (CS-G),,,,,,,,,-1,,,,,,,,,Comm & Presentation Skills Lab (CS-E),,,,,,,,,Comm & Presentation Skills Lab (CS-A),,,,,,,,,-1,,,,,,,,,Comm & Presentation Skills Lab (CS-F),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),Database Systems Lab (CS-C),,,,,,,,,Database Systems Lab (CS-C),,,,,,,,,Computer Programming Lab (CS-1),,,,,,,,,Computer Programming Lab (CS-1),,,,,,,,,Object Oriented Programming Lab (CS-A),,,,,,,,,Object Oriented Programming Lab (CS-A),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
